0,KrxFuturesDesc,,,
1,datatype,9,2,A0
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,stocksnum,9,5,
5,tradeday,9,8,
6,krcode,X,12,최종 record '999999999999' set
7,seq,9,6,
8,derivativeid,X,10,예) KRSPIFUK2I:코스피200선물 KRSPIOPK2I:코스피200옵션 KREQUOPS46:KRX주식옵션 KB금융
9,krcodeshort,X,9,에) KR4101C90009 → K101C9000
10,koreanname,X,80,
11,koreannameshort,X,40,
12,englishname,X,80,
13,englishnameshort,X,40,
14,issuedate,9,8,
15,expirydate,9,8,
16,longorshortspread,9,1,F:원월종목; N:근월종목
17,cashorasset,9,1,C:현금결제; D:실물인수도결제
18,upperlimitsign,9,1,
19,upperlimitprice,9,12,예) 9999999999.99
20,lowerlimitsign,9,1,
21,lowerlimitprice,9,12,예) 9999999999.99
22,baseprice,9,12,예) 9999999999.99
23,underlyingid,9,3,예) K2I:KOSPI200지수; STI:스타지수; Sxx:개별주식; B03:3년국채; B05:5년국채; B10:10년국채; CDR:CD; MSB:통안채; USD:미국달러; JPY:일본엔; EUR:유럽유로; GLD:금; PMT:돈육
24,americanoreuropean,9,1,A:미국형;E:유럽형;Z:기타
25,spreadtype,9,2,T1:최근월+차근월 T2:최근월+2차근월 T3:최근월+3차근월 T4:최근월+4차근월 T5:최근월+5차근월 T6:최근월+6차근월
26,spreadnearbycode,9,12,
27,spreaddistantcode,9,12,
28,lasttradedate,9,8,
29,lastpaydate,9,8,
30,monthtype,9,1,1:최근월물;선물스프레드 2:2째월물 3:3째월물 4:4째월물 5:5째월물 6:6째월물 7:7째월물
31,lastexerdate,9,8,권리행사 가능한 최종일자
32,strikeprice,9,17,예) 999999999.99999999
33,adjusttype,9,1,C:거래단위조정 N:조정없음 O:미결제조정
34,tradingunit,9,17,1계약에 해당하는 기초자산수량 예) 999999999.99999999
35,tradingmultip,9,21,약정대금 및 결제시 사용하는 계산승수 예) 9999999999999.99999999
36,constructiontype,9,1,0:미시장조성종목 1:당일시장조성종목 2:과거시장조성종목
37,issuetype,9,1,1:신규상장 2:추가상장 3:기존종목 4:최초상장 5:종목조정 6:특별설정
38,atmprice,9,12,기초자산기준가격에 가장 가까운 행사가격 예) 9999999999.99
39,adjustreason,9,2,00:해당사항없음; 01:권리락; 02:배당락; 03:분배락; 04:권배락; 05:중간배당락; 06:권리중간배당락; 99:기타
40,underlyingkrcode,X,12,
41,underlyinglastprice,9,12,예) 9999999999.99
42,timetomatdays,9,7,
43,adjustbaseprice,9,17,주식파생상품의 기초주권 조정기준가격 예) 999999999.99999999
