0,KrxFuturesDesc,,,A0014
1,datatype,9,2,A0
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,stocksnum,9,5,
5,tradeday,9,8,
6,krcode,X,12,???? record '999999999999' set
7,seq,9,6,
8,derivativeid,X,10,??) KRSPIFUK2I:?????200???? KRSPIOPK2I:?????200??? KREQUOPS46:KRX??Ŀ?? KB????
9,krcodeshort,X,9,??) KR4101C90009 ?? K101C9000
10,koreanname,X,80,
11,koreannameshort,X,40,
12,englishname,X,80,
13,englishnameshort,X,40,
14,issuedate,9,8,
15,expirydate,9,8,
16,longorshortspread,9,1,F:????????; N:???????
17,cashorasset,9,1,C:???????; D:????μ???????
18,upperlimitsign,9,1,
19,upperlimitprice,9,12,??) 9999999999.99
20,lowerlimitsign,9,1,
21,lowerlimitprice,9,12,??) 9999999999.99
22,baseprice,9,12,??) 9999999999.99
23,underlyingid,9,3,??) K2I:KOSPI200????; STI:???????; Sxx:???????; B03:3??a; B05:5??a; B10:10??a; CDR:CD; MSB:????a; USD:??????; JPY:?????; EUR:????????; GLD:??; PMT:????
24,americanoreuropean,9,1,A:?????;E:??????;Z:???
25,spreadtype,9,2,T1:????+????? T2:????+2????? T3:????+3????? T4:????+4????? T5:????+5????? T6:????+6?????
26,spreadnearbycode,9,12,
27,spreaddistantcode,9,12,
28,lasttradedate,9,8,
29,lastpaydate,9,8,
30,monthtype,9,1,1:??????;???????????? 2:2°???? 3:3°???? 4:4°???? 5:5°???? 6:6°???? 7:7°????
31,lastexerdate,9,8,??????? ?????? ????????
32,strikeprice,9,17,??) 999999999.99999999
33,adjusttype,9,1,C:??????????? N:???????? O:?????????
34,tradingunit,9,17,1???? ?????? ??????????? ??) 999999999.99999999
35,tradingmultip,9,21,???????? ?? ?????? ??????? ?????¼? ??) 9999999999999.99999999
36,constructiontype,9,1,0:????????????? 1:??????????????? 2:???????????????
37,issuetype,9,1,1:?????? 2:??????? 3:???????? 4:??????? 5:???????? 6:???????
38,atmprice,9,12,??????????????? ???? ?????? ???簡?? ??) 9999999999.99
39,adjustreason,9,2,00:??????????; 01:?????; 02:??????; 03:?й???; 04:?????; 05:?????????; 06:????????????; 99:???
40,underlyingkrcode,X,12,
41,underlyinglastprice,9,12,??) 9999999999.99
42,timetomatdays,9,7,
