code, expirydate, # trades, amount, delta, bidticksize, askticksize, bidfutunit, askfutunit
KR4101H60001, 20130614, 18002, 51, 1.000000, 0.050000, 0.050000, 0.050000, 0.050000
KR4101H90008, 20130913, 4154, 10, 1.000000, 0.050000, 0.050000, 0.050000, 0.050000
KR4201H52378, 20130510, 29, 18, 0.830153, 0.250000, 0.050000, 0.301149, 0.060230
KR4201H52402, 20130510, 142, 18, 0.793771, 0.100000, 0.100000, 0.125981, 0.125981
KR4201H52428, 20130510, 1239, 7, 0.756541, 0.050000, 0.050000, 0.066090, 0.066090
KR4201H52451, 20130510, 1735, 5, 0.664115, 0.050000, 0.050000, 0.075288, 0.075288
KR4201H52477, 20130510, 4777, 17, 0.598296, 0.050000, 0.050000, 0.083571, 0.083571
KR4201H52501, 20130510, 4137, 55, 0.522065, 0.050000, 0.050000, 0.095774, 0.095774
KR4201H52527, 20130510, 3503, 43, 0.444530, 0.050000, 0.050000, 0.112478, 0.112478
KR4201H52550, 20130510, 4251, 90, 0.368324, 0.050000, 0.050000, 0.135750, 0.135750
KR4201H52576, 20130510, 24000, 27, 0.290604, 0.010000, 0.010000, 0.034411, 0.034411
KR4201H52600, 20130510, 17423, 37, 0.222734, 0.010000, 0.010000, 0.044897, 0.044897
KR4201H52626, 20130510, 12718, 146, 0.162270, 0.010000, 0.010000, 0.061626, 0.061626
KR4201H52659, 20130510, 8372, 349, 0.112619, 0.010000, 0.010000, 0.088795, 0.088795
KR4201H52675, 20130510, 5365, 1000, 0.074208, 0.010000, 0.010000, 0.134756, 0.134756
KR4201H52709, 20130510, 2969, 1584, 0.045463, 0.010000, 0.010000, 0.219959, 0.219959
KR4201H52725, 20130510, 1995, 2971, 0.029777, 0.010000, 0.010000, 0.335830, 0.335830
KR4201H52758, 20130510, 941, 7087, 0.018997, 0.010000, 0.010000, 0.526399, 0.526399
KR4201H52774, 20130510, 303, 7779, 0.014408, 0.010000, 0.010000, 0.694059, 0.694059
KR4201H52808, 20130510, 140, 11222, 0.009689, 0.010000, 0.010000, 1.032098, 1.032098
KR4201H52824, 20130510, 129, 28073, 0.005440, 0.010000, 0.010000, 1.838235, 1.838235
KR4201H62377, 20130614, 11, 6, 0.793602, 0.950000, 0.100000, 1.197074, 0.126008
KR4201H62401, 20130614, 15, 6, 0.800712, 0.950000, 0.050000, 1.186444, 0.062444
KR4201H62427, 20130614, 162, 9, 0.721622, 0.100000, 0.050000, 0.138577, 0.069288
KR4201H62450, 20130614, 191, 9, 0.684154, 3.200000, 0.050000, 4.677309, 0.073083
KR4201H62476, 20130614, 179, 9, 0.633742, 3.250000, 0.050000, 5.128270, 0.078896
KR4201H62500, 20130614, 292, 7, 0.536970, 0.100000, 0.050000, 0.186230, 0.093115
KR4201H62526, 20130614, 2221, 11, 0.489431, 0.100000, 0.050000, 0.204319, 0.102159
KR4201H62559, 20130614, 2790, 7, 0.431293, 0.050000, 0.050000, 0.115930, 0.115930
KR4201H62575, 20130614, 372, 9, 0.386916, 0.050000, 0.050000, 0.129227, 0.129227
KR4201H62609, 20130614, 2305, 10, 0.319070, 0.050000, 0.050000, 0.156705, 0.156705
KR4201H62625, 20130614, 1227, 3, 0.267843, 0.010000, 0.010000, 0.037335, 0.037335
KR4201H62658, 20130614, 804, 4, 0.222147, 0.010000, 0.010000, 0.045015, 0.045015
KR4201H62674, 20130614, 1088, 4, 0.177797, 0.010000, 0.010000, 0.056244, 0.056244
KR4201H62708, 20130614, 722, 2, 0.140725, 0.010000, 0.010000, 0.071061, 0.071061
KR4201H62724, 20130614, 705, 6, 0.108799, 0.010000, 0.010000, 0.091913, 0.091913
KR4201H62757, 20130614, 597, 39, 0.082723, 0.010000, 0.010000, 0.120885, 0.120885
KR4201H62773, 20130614, 609, 18, 0.062492, 0.010000, 0.010000, 0.160020, 0.160020
KR4201H62807, 20130614, 403, 38, 0.046307, 0.010000, 0.010000, 0.215950, 0.215950
KR4201H62823, 20130614, 291, 93, 0.033736, 0.010000, 0.010000, 0.296419, 0.296419
KR4201H62856, 20130614, 231, 47, 0.024804, 0.010000, 0.010000, 0.403161, 0.403161
KR4201H72376, 20130712, 13, 2, 0.808212, 0.150000, 0.150000, 0.185595, 0.185595
KR4201H72400, 20130712, 13, 2, 0.740006, 0.150000, 0.150000, 0.202701, 0.202701
KR4201H72426, 20130712, 107, 2, 0.705230, 0.050000, 0.150000, 0.070899, 0.212697
KR4201H72459, 20130712, 105, 2, 0.669700, 0.150000, 0.150000, 0.223981, 0.223981
KR4201H72475, 20130712, 98, 2, 0.626748, 0.150000, 0.050000, 0.239331, 0.079777
KR4201H72509, 20130712, 92, 2, 0.582667, 0.150000, 0.050000, 0.257437, 0.085812
KR4201H72525, 20130712, 267, 12, 0.508114, 0.050000, 0.300000, 0.098403, 0.590419
KR4201H72558, 20130712, 282, 13, 0.456478, 0.050000, 0.300000, 0.109534, 0.657206
KR4201H72574, 20130712, 293, 16, 0.445347, 0.150000, 0.200000, 0.336816, 0.449088
KR4201H72608, 20130712, 314, 18, 0.394946, 0.150000, 4.150000, 0.379799, 10.507766
KR4201H72624, 20130712, 258, 16, 0.346868, 0.200000, 0.350000, 0.576588, 1.009029
KR4201H72657, 20130712, 449, 16, 0.270108, 0.050000, 0.150000, 0.185111, 0.555333
KR4201H72673, 20130712, 787, 12, 0.241523, 0.220000, 0.010000, 0.910886, 0.041404
KR4201H72707, 20130712, 785, 11, 0.192521, 0.200000, 0.260000, 1.038848, 1.350502
KR4201H92358, 20130913, 13, 2, 0.752225, 0.100000, 0.150000, 0.132939, 0.199408
KR4201H92408, 20130913, 112, 3, 0.721835, 0.050000, 0.100000, 0.069268, 0.138536
KR4201H92457, 20130913, 175, 2, 0.636178, 0.050000, 0.050000, 0.078594, 0.078594
KR4201H92507, 20130913, 210, 2, 0.591683, 0.050000, 0.050000, 0.084505, 0.084505
KR4201H92556, 20130913, 213, 6, 0.500228, 0.050000, 0.050000, 0.099954, 0.099954
KR4201H92606, 20130913, 165, 11, 0.422748, 0.050000, 0.200000, 0.118274, 0.473095
KR4201H92655, 20130913, 191, 6, 0.344259, 0.100000, 0.050000, 0.290479, 0.145239
KR4201H92705, 20130913, 277, 40, 0.280199, 0.250000, 0.350000, 0.892223, 1.249112
KR4201H92754, 20130913, 294, 7, 0.215113, 0.070000, 0.200000, 0.325410, 0.929744
KR4201H92804, 20130913, 210, 3, 0.164039, 0.010000, 0.010000, 0.060961, 0.060961
KR4301H52376, 20130510, 20521, 81, -0.207809, 0.010000, 0.010000, -0.048121, -0.048121
KR4301H52400, 20130510, 20836, 36, -0.248986, 0.010000, 0.010000, -0.040163, -0.040163
KR4301H52426, 20130510, 9011, 108, -0.296545, 0.050000, 0.050000, -0.168608, -0.168608
KR4301H52459, 20130510, 4271, 79, -0.351998, 0.050000, 0.050000, -0.142046, -0.142046
KR4301H52475, 20130510, 3994, 52, -0.412443, 0.050000, 0.050000, -0.121229, -0.121229
KR4301H52509, 20130510, 4142, 54, -0.477910, 0.050000, 0.050000, -0.104622, -0.104622
KR4301H52525, 20130510, 5447, 30, -0.546907, 0.050000, 0.050000, -0.091423, -0.091423
KR4301H52558, 20130510, 2484, 17, -0.614993, 0.050000, 0.050000, -0.081302, -0.081302
KR4301H52574, 20130510, 670, 12, -0.673789, 0.100000, 0.050000, -0.148414, -0.074207
KR4301H52608, 20130510, 640, 12, -0.751853, 0.050000, 0.050000, -0.066502, -0.066502
KR4301H52624, 20130510, 92, 12, -0.789834, 0.250000, 0.100000, -0.316522, -0.126609
KR4301H52657, 20130510, 399, 12, -0.826660, 0.200000, 0.100000, -0.241937, -0.120969
KR4301H52707, 20130510, 24, 18, -0.893251, 0.100000, 0.100000, -0.111951, -0.111951
KR4301H52723, 20130510, 1, 30, -0.999781, 0.050000, 0.150000, -0.050011, -0.150033
KR4301H52756, 20130510, 1, 30, -0.937042, 0.050000, 0.100000, -0.053359, -0.106719
KR4301H52772, 20130510, 1, 30, -0.999995, 0.050000, 0.100000, -0.050000, -0.100001
KR4301H52806, 20130510, 1, 30, -1.000000, 0.050000, 0.100000, -0.050000, -0.100000
KR4301H52822, 20130510, 1, 33, -0.951502, 0.300000, 0.100000, -0.315291, -0.105097
KR4301H62375, 20130614, 1295, 22, -0.251637, 0.050000, 0.050000, -0.198699, -0.198699
KR4301H62409, 20130614, 1240, 2, -0.287180, 0.050000, 0.050000, -0.174107, -0.174107
KR4301H62425, 20130614, 1118, 15, -0.316611, 0.050000, 0.050000, -0.157922, -0.157922
KR4301H62458, 20130614, 1437, 14, -0.366070, 0.050000, 0.050000, -0.136586, -0.136586
