code, expirydate, # trades, amount, delta, bidticksize, askticksize, bidfutunit, askfutunit, baspread, badelta
KR4101H60001, 20130614, 67788, 48, 1.000000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000
KR4101H90008, 20130913, 11317, 3, 1.000000, 0.050000, 0.050000, 0.050000, 0.050000, 0.200000, 0.200000
KR4201H52378, 20130510, 52, 9, 0.825169, 0.100000, 0.050000, 0.121187, 0.060594, 1.100000, 1.333060
KR4201H52402, 20130510, 367, 25, 0.776916, 0.200000, 0.800000, 0.257428, 1.029712, 0.950000, 1.222783
KR4201H52428, 20130510, 4165, 12, 0.727507, 0.050000, 0.550000, 0.068728, 0.756006, 0.200000, 0.274911
KR4201H52451, 20130510, 4009, 2, 0.666486, 0.050000, 0.050000, 0.075020, 0.075020, 0.150000, 0.225061
KR4201H52477, 20130510, 17175, 14, 0.609594, 0.050000, 0.050000, 0.082022, 0.082022, 0.050000, 0.082022
KR4201H52501, 20130510, 14874, 23, 0.537676, 0.050000, 0.050000, 0.092993, 0.092993, 0.050000, 0.092993
KR4201H52527, 20130510, 12350, 41, 0.458856, 0.050000, 0.050000, 0.108967, 0.108967, 0.050000, 0.108967
KR4201H52550, 20130510, 45641, 14, 0.377384, 0.010000, 0.010000, 0.026498, 0.026498, 0.010000, 0.026498
KR4201H52576, 20130510, 64254, 11, 0.298821, 0.010000, 0.010000, 0.033465, 0.033465, 0.010000, 0.033465
KR4201H52600, 20130510, 51766, 56, 0.226254, 0.010000, 0.010000, 0.044198, 0.044198, 0.010000, 0.044198
KR4201H52626, 20130510, 32325, 262, 0.161750, 0.010000, 0.010000, 0.061824, 0.061824, 0.020000, 0.123648
KR4201H52659, 20130510, 23067, 381, 0.111349, 0.010000, 0.010000, 0.089808, 0.089808, 0.010000, 0.089808
KR4201H52675, 20130510, 13699, 605, 0.073150, 0.010000, 0.010000, 0.136705, 0.136705, 0.010000, 0.136705
KR4201H52709, 20130510, 7002, 1203, 0.046777, 0.010000, 0.010000, 0.213780, 0.213780, 0.010000, 0.213780
KR4201H52725, 20130510, 3358, 1828, 0.028976, 0.010000, 0.010000, 0.345113, 0.345113, 0.010000, 0.345113
KR4201H52758, 20130510, 972, 4530, 0.020048, 0.010000, 0.010000, 0.498803, 0.498803, 0.010000, 0.498803
KR4201H52774, 20130510, 448, 7102, 0.014856, 0.010000, 0.010000, 0.673129, 0.673129, 0.010000, 0.673129
KR4201H52808, 20130510, 452, 10500, 0.010294, 0.010000, 0.010000, 0.971440, 0.971440, 0.010000, 0.971440
KR4201H52824, 20130510, 300, 20714, 0.007546, 0.010000, 0.010000, 1.325205, 1.325205, 0.010000, 1.325205
KR4201H62377, 20130614, 364, 22, 0.765323, 0.500000, 0.500000, 0.653319, 0.653319, 8.050000, 10.518435
KR4201H62401, 20130614, 86, 14, 0.724200, 0.050000, 0.500000, 0.069042, 0.690417, 3.050000, 4.211544
KR4201H62427, 20130614, 116, 18, 0.694839, 3.100000, 0.050000, 4.461465, 0.071959, 0.850000, 1.223305
KR4201H62450, 20130614, 89, 22, 0.646817, 3.050000, 4.200000, 4.715399, 6.493336, 0.800000, 1.236826
KR4201H62476, 20130614, 93, 18, 0.595645, 0.250000, 4.250000, 0.419713, 7.135122, 0.450000, 0.755484
KR4201H62500, 20130614, 195, 25, 0.544734, 3.300000, 0.050000, 6.058003, 0.091788, 0.550000, 1.009667
KR4201H62526, 20130614, 11772, 19, 0.489434, 3.400000, 0.100000, 6.946800, 0.204318, 0.150000, 0.306476
KR4201H62559, 20130614, 14598, 2, 0.437641, 0.050000, 0.050000, 0.114249, 0.114249, 0.100000, 0.228498
KR4201H62575, 20130614, 14701, 2, 0.382809, 0.050000, 0.050000, 0.130613, 0.130613, 0.050000, 0.130613
KR4201H62609, 20130614, 11669, 13, 0.321174, 0.050000, 0.050000, 0.155679, 0.155679, 0.150000, 0.467037
KR4201H62625, 20130614, 5069, 8, 0.266481, 0.020000, 0.010000, 0.075052, 0.037526, 0.070000, 0.262683
KR4201H62658, 20130614, 4962, 3, 0.225831, 0.010000, 0.010000, 0.044281, 0.044281, 0.050000, 0.221405
KR4201H62674, 20130614, 6148, 8, 0.178679, 0.010000, 0.010000, 0.055966, 0.055966, 0.040000, 0.223865
KR4201H62708, 20130614, 4805, 4, 0.143499, 0.010000, 0.010000, 0.069687, 0.069687, 0.030000, 0.209061
KR4201H62724, 20130614, 4023, 8, 0.112419, 0.010000, 0.010000, 0.088953, 0.088953, 0.030000, 0.266859
KR4201H62757, 20130614, 3287, 24, 0.085289, 0.010000, 0.010000, 0.117248, 0.117248, 0.020000, 0.234497
KR4201H62773, 20130614, 2759, 13, 0.064023, 0.010000, 0.010000, 0.156194, 0.156194, 0.010000, 0.156194
KR4201H62807, 20130614, 2052, 8, 0.047285, 0.010000, 0.010000, 0.211484, 0.211484, 0.010000, 0.211484
KR4201H62823, 20130614, 1646, 62, 0.036636, 0.010000, 0.010000, 0.272956, 0.272956, 0.020000, 0.545911
KR4201H62856, 20130614, 1505, 38, 0.027128, 0.010000, 0.010000, 0.368623, 0.368623, 0.010000, 0.368623
KR4201H72376, 20130712, 416, 17, 0.744545, 0.500000, 0.500000, 0.671551, 0.671551, 8.050000, 10.811972
KR4201H72400, 20130712, 442, 17, 0.708757, 0.500000, 0.500000, 0.705460, 0.705460, 8.050000, 11.357913
KR4201H72426, 20130712, 84, 14, 0.671443, 3.150000, 3.850000, 4.691389, 5.733919, 1.050000, 1.563796
KR4201H72459, 20130712, 108, 17, 0.652761, 3.150000, 3.750000, 4.825656, 5.744829, 1.150000, 1.761747
KR4201H72475, 20130712, 137, 14, 0.586191, 3.000000, 3.900000, 5.117786, 6.653122, 1.150000, 1.961818
KR4201H72509, 20130712, 88, 17, 0.563803, 3.200000, 3.900000, 5.675741, 6.917310, 0.950000, 1.684986
KR4201H72525, 20130712, 1369, 12, 0.506657, 0.050000, 0.050000, 0.098686, 0.098686, 0.300000, 0.592117
KR4201H72558, 20130712, 1164, 19, 0.447598, 3.450000, 0.050000, 7.707809, 0.111707, 0.300000, 0.670244
KR4201H72574, 20130712, 1130, 9, 0.413191, 0.050000, 0.050000, 0.121009, 0.121009, 0.200000, 0.484038
KR4201H72608, 20130712, 1253, 17, 0.370287, 0.150000, 0.100000, 0.405091, 0.270061, 0.200000, 0.540122
KR4201H72624, 20130712, 1465, 38, 0.308051, 0.050000, 0.050000, 0.162311, 0.162311, 0.150000, 0.486932
KR4201H72657, 20130712, 1503, 38, 0.263110, 0.050000, 0.050000, 0.190035, 0.190035, 0.150000, 0.570104
KR4201H72673, 20130712, 2746, 8, 0.236553, 0.070000, 0.020000, 0.295917, 0.084548, 0.120000, 0.507286
KR4201H72707, 20130712, 2186, 12, 0.194569, 0.060000, 0.020000, 0.308374, 0.102791, 0.130000, 0.668143
KR4201H92358, 20130913, 142, 13, 0.752225, 1.700000, 0.500000, 2.259962, 0.664695, 6.350000, 8.441623
KR4201H92408, 20130913, 99, 17, 0.704008, 2.850000, 3.600000, 4.048249, 5.113578, 1.000000, 1.420438
KR4201H92457, 20130913, 79, 19, 0.626360, 3.050000, 4.250000, 4.869404, 6.785235, 0.750000, 1.197394
KR4201H92507, 20130913, 174, 13, 0.559176, 3.050000, 0.050000, 5.454454, 0.089417, 0.950000, 1.698928
KR4201H92556, 20130913, 732, 17, 0.491130, 0.050000, 0.050000, 0.101806, 0.101806, 0.350000, 0.712642
KR4201H92606, 20130913, 717, 5, 0.417308, 0.050000, 0.050000, 0.119816, 0.119816, 0.200000, 0.479262
KR4201H92655, 20130913, 709, 13, 0.345368, 0.050000, 0.050000, 0.144773, 0.144773, 0.250000, 0.723866
KR4201H92705, 20130913, 888, 45, 0.278251, 0.050000, 0.050000, 0.179694, 0.179694, 0.100000, 0.359388
KR4201H92754, 20130913, 1857, 7, 0.213766, 0.010000, 0.010000, 0.046780, 0.046780, 0.120000, 0.561361
KR4201H92804, 20130913, 1324, 7, 0.164840, 0.010000, 0.010000, 0.060665, 0.060665, 0.060000, 0.363989
KR4301H52376, 20130510, 56371, 28, -0.183807, 0.010000, 0.010000, -0.054405, -0.054405, 0.010000, -0.054405
KR4301H52400, 20130510, 50559, 26, -0.223561, 0.010000, 0.010000, -0.044731, -0.044731, 0.010000, -0.044731
KR4301H52426, 20130510, 51374, 18, -0.272032, 0.010000, 0.010000, -0.036760, -0.036760, 0.010000, -0.036760
KR4301H52459, 20130510, 13471, 64, -0.328966, 0.050000, 0.050000, -0.151991, -0.151991, 0.050000, -0.151991
KR4301H52475, 20130510, 11346, 52, -0.392775, 0.050000, 0.050000, -0.127299, -0.127299, 0.050000, -0.127299
KR4301H52509, 20130510, 16235, 29, -0.462680, 0.050000, 0.050000, -0.108066, -0.108066, 0.050000, -0.108066
KR4301H52525, 20130510, 17925, 17, -0.538461, 0.050000, 0.050000, -0.092857, -0.092857, 0.050000, -0.092857
KR4301H52558, 20130510, 14428, 6, -0.617669, 0.050000, 0.050000, -0.080950, -0.080950, 0.100000, -0.161899
KR4301H52574, 20130510, 2819, 3, -0.696847, 0.050000, 0.050000, -0.071752, -0.071752, 0.200000, -0.287007
KR4301H52608, 20130510, 2685, 12, -0.763149, 0.050000, 0.150000, -0.065518, -0.196554, 0.150000, -0.196554
KR4301H52624, 20130510, 218, 12, -0.832446, 0.050000, 3.000000, -0.060064, -3.603837, 1.400000, -1.681791
KR4301H52657, 20130510, 296, 17, -0.892404, 0.050000, 0.150000, -0.056028, -0.168085, 1.300000, -1.456739
KR4301H52673, 20130510, 285, 16, -0.910441, 0.050000, 0.050000, -0.054918, -0.054918, 1.350000, -1.482798
KR4301H52707, 20130510, 112, 18, -0.960942, 0.050000, 0.200000, -0.052032, -0.208129, 4.400000, -4.578840
KR4301H52723, 20130510, 98, 11, -0.918656, 0.050000, 2.950000, -0.054427, -3.211213, 1.450000, -1.578393
KR4301H52756, 20130510, 80, 16, -0.921867, 0.050000, 2.950000, -0.054238, -3.200028, 1.400000, -1.518657
KR4301H52772, 20130510, 35, 16, -0.914630, 0.050000, 2.950000, -0.054667, -3.225348, 1.400000, -1.530674
KR4301H52806, 20130510, 76, 16, -0.924866, 0.050000, 3.000000, -0.054062, -3.243713, 1.300000, -1.405609
KR4301H52822, 20130510, 70, 16, -0.912693, 0.050000, 2.950000, -0.054783, -3.232193, 1.300000, -1.424356
KR4301H62375, 20130614, 6392, 56, -0.237743, 0.050000, 0.050000, -0.210311, -0.210311, 0.100000, -0.420622
KR4301H62409, 20130614, 6446, 54, -0.273163, 0.050000, 0.050000, -0.183041, -0.183041, 0.100000, -0.366082
KR4301H62425, 20130614, 9919, 19, -0.312471, 0.050000, 0.050000, -0.160015, -0.160015, 0.100000, -0.320030
KR4301H62458, 20130614, 12867, 9, -0.357755, 0.050000, 0.050000, -0.139760, -0.139760, 0.100000, -0.279521
KR4301H62474, 20130614, 13408, 5, -0.403920, 0.050000, 0.050000, -0.123787, -0.123787, 0.050000, -0.123787
KR4301H62508, 20130614, 3069, 8, -0.456254, 0.050000, 0.050000, -0.109588, -0.109588, 0.100000, -0.219176
KR4301H62524, 20130614, 2235, 16, -0.508853, 0.050000, 0.050000, -0.098260, -0.098260, 0.150000, -0.294781
KR4301H62557, 20130614, 621, 29, -0.570953, 2.350000, 3.650000, -4.115925, -6.392820, 0.450000, -0.788156
KR4301H62573, 20130614, 213, 34, -0.621115, 0.400000, 3.550000, -0.644003, -5.715528, 0.500000, -0.805004
KR4301H62607, 20130614, 176, 14, -0.648163, 0.050000, 1.400000, -0.077141, -2.159951, 6.600000, -10.182624
KR4301H62623, 20130614, 497, 22, -0.711245, 0.500000, 0.500000, -0.702993, -0.702993, 8.050000, -11.318181
KR4301H62656, 20130614, 261, 22, -0.741758, 0.500000, 0.500000, -0.674074, -0.674074, 8.050000, -10.852596
KR4301H62672, 20130614, 334, 30, -0.791654, 0.050000, 0.500000, -0.063159, -0.631589, 3.800000, -4.800077
KR4301H62706, 20130614, 507, 18, -0.833107, 0.100000, 0.500000, -0.120033, -0.600163, 7.950000, -9.542592
KR4301H62722, 20130614, 497, 22, -0.862366, 0.500000, 0.500000, -0.579800, -0.579800, 8.050000, -9.334784
KR4301H62755, 20130614, 436, 22, -0.889881, 0.500000, 0.500000, -0.561873, -0.561873, 8.050000, -9.046153
KR4301H62771, 20130614, 410, 22, -0.847313, 0.500000, 0.500000, -0.590101, -0.590101, 8.050000, -9.500621
KR4301H62805, 20130614, 432, 22, -0.920293, 0.500000, 0.500000, -0.543305, -0.543305, 8.050000, -8.747214
KR4301H62821, 20130614, 410, 22, -0.923149, 0.500000, 0.500000, -0.541624, -0.541624, 8.050000, -8.720152
KR4301H62854, 20130614, 189, 25, -0.912615, 2.850000, 0.150000, -3.122894, -0.164363, 4.600000, -5.040461
KR4301H72374, 20130712, 1356, 9, -0.257290, 0.050000, 0.050000, -0.194333, -0.194333, 0.100000, -0.388666
KR4301H72408, 20130712, 1120, 8, -0.303788, 0.050000, 0.050000, -0.164588, -0.164588, 0.150000, -0.493765
KR4301H72424, 20130712, 1232, 12, -0.325783, 0.050000, 0.100000, -0.153476, -0.306953, 0.200000, -0.613906
KR4301H72457, 20130712, 1221, 22, -0.366296, 0.050000, 0.100000, -0.136502, -0.273003, 0.250000, -0.682508
KR4301H72473, 20130712, 1454, 18, -0.405166, 0.050000, 0.100000, -0.123406, -0.246812, 0.250000, -0.617031
KR4301H72507, 20130712, 1460, 12, -0.436724, 0.050000, 0.050000, -0.114489, -0.114489, 0.300000, -0.686933
KR4301H72523, 20130712, 1227, 13, -0.492280, 0.050000, 3.800000, -0.101568, -7.719184, 0.300000, -0.609409
KR4301H72556, 20130712, 71, 14, -0.525881, 3.550000, 3.500000, -6.750577, -6.655498, 1.000000, -1.901571
KR4301H72572, 20130712, 66, 17, -0.575423, 3.200000, 3.400000, -5.561126, -5.908697, 1.450000, -2.519885
KR4301H72606, 20130712, 76, 14, -0.624320, 3.500000, 3.400000, -5.606099, -5.445925, 1.150000, -1.842004
KR4301H72622, 20130712, 362, 17, -0.676349, 0.500000, 0.500000, -0.739263, -0.739263, 8.050000, -11.902139
KR4301H72655, 20130712, 426, 17, -0.716531, 0.500000, 0.500000, -0.697807, -0.697807, 8.050000, -11.234685
KR4301H72671, 20130712, 410, 17, -0.758966, 0.500000, 0.500000, -0.658791, -0.658791, 8.050000, -10.606536
KR4301H72705, 20130712, 464, 17, -0.793119, 0.500000, 0.500000, -0.630422, -0.630422, 8.050000, -10.149801
KR4301H92356, 20130913, 918, 43, -0.254681, 0.050000, 0.050000, -0.196324, -0.196324, 0.150000, -0.588972
KR4301H92406, 20130913, 1112, 11, -0.316900, 0.050000, 0.100000, -0.157778, -0.315557, 0.200000, -0.631114
KR4301H92455, 20130913, 1401, 6, -0.368252, 0.050000, 0.100000, -0.135777, -0.271553, 0.250000, -0.678883
KR4301H92505, 20130913, 1479, 7, -0.441797, 0.100000, 0.150000, -0.226348, -0.339522, 0.150000, -0.339522
KR4301H92554, 20130913, 1812, 6, -0.500422, 0.100000, 0.050000, -0.199831, -0.099916, 0.200000, -0.399663
KR4301H92604, 20130913, 1543, 11, -0.567834, 0.050000, 0.050000, -0.088054, -0.088054, 0.250000, -0.440270
KR4301H92653, 20130913, 74, 14, -0.638048, 3.650000, 3.350000, -5.720573, -5.250389, 1.050000, -1.645644
KR4301H92703, 20130913, 446, 17, -0.712064, 0.500000, 0.500000, -0.702184, -0.702184, 8.050000, -11.305164
KR4301H92752, 20130913, 430, 17, -0.759012, 0.500000, 0.500000, -0.658751, -0.658751, 8.050000, -10.605893
KR4301H92802, 20130913, 378, 13, -0.813936, 0.500000, 3.300000, -0.614299, -4.054373, 4.750000, -5.835840
KR4401H6H9S8, 20130614, 2, 71, 1.000000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000
