code, expirydate, # trades, amount, delta, bidticksize, askticksize, bidfutunit, askfutunit
KR4101H60001, 20130614, 18002, 37, 1.000000, 0.050000, 0.050000, 0.050000, 0.050000
KR4101H90008, 20130913, 4154, 9, 1.000000, 0.050000, 0.050000, 0.050000, 0.050000
KR4201H52378, 20130510, 29, 4, 0.830153, 0.050000, 0.050000, 0.060230, 0.060230
KR4201H52402, 20130510, 142, 4, 0.793771, 0.050000, 0.100000, 0.062990, 0.125981
KR4201H52428, 20130510, 1239, 12, 0.756541, 0.050000, 0.100000, 0.066090, 0.132181
KR4201H52451, 20130510, 1735, 9, 0.664115, 0.050000, 0.050000, 0.075288, 0.075288
KR4201H52477, 20130510, 4777, 15, 0.598296, 0.050000, 0.050000, 0.083571, 0.083571
KR4201H52501, 20130510, 4137, 31, 0.522065, 0.050000, 0.050000, 0.095774, 0.095774
KR4201H52527, 20130510, 3503, 52, 0.444530, 0.050000, 0.050000, 0.112478, 0.112478
KR4201H52550, 20130510, 4251, 100, 0.368324, 0.050000, 0.050000, 0.135750, 0.135750
KR4201H52576, 20130510, 24000, 28, 0.290604, 0.010000, 0.010000, 0.034411, 0.034411
KR4201H52600, 20130510, 17423, 28, 0.222734, 0.010000, 0.010000, 0.044897, 0.044897
KR4201H52626, 20130510, 12718, 59, 0.162270, 0.010000, 0.010000, 0.061626, 0.061626
KR4201H52659, 20130510, 8372, 133, 0.112619, 0.010000, 0.010000, 0.088795, 0.088795
KR4201H52675, 20130510, 5365, 359, 0.074208, 0.010000, 0.010000, 0.134756, 0.134756
KR4201H52709, 20130510, 2969, 1066, 0.045463, 0.010000, 0.010000, 0.219959, 0.219959
KR4201H52725, 20130510, 1995, 2488, 0.029777, 0.010000, 0.010000, 0.335830, 0.335830
KR4201H52758, 20130510, 941, 4429, 0.018997, 0.010000, 0.010000, 0.526399, 0.526399
KR4201H52774, 20130510, 303, 8545, 0.014408, 0.010000, 0.010000, 0.694059, 0.694059
KR4201H52808, 20130510, 140, 12457, 0.009689, 0.010000, 0.010000, 1.032098, 1.032098
